epoch,timestamp,operations,operations-delta,operations/second
1696344086.614,03/10/2023 14:41:26,1420,1420,1420
1696344087.614,03/10/2023 14:41:27,3167,1747,1747
1696344088.614,03/10/2023 14:41:28,5531,2364,2364
1696344089.615,03/10/2023 14:41:29,7998,2467,2464.535
1696344090.615,03/10/2023 14:41:30,10437,2439,2439
1696344091.615,03/10/2023 14:41:31,12452,2015,2015
1696344092.615,03/10/2023 14:41:32,13651,1199,1199
1696344093.615,03/10/2023 14:41:33,14835,1184,1184
1696344094.615,03/10/2023 14:41:34,16028,1193,1193
1696344095.615,03/10/2023 14:41:35,17211,1183,1183
1696344096.615,03/10/2023 14:41:36,18360,1149,1149
1696344097.615,03/10/2023 14:41:37,19524,1164,1164
1696344098.615,03/10/2023 14:41:38,20702,1178,1178
1696344099.615,03/10/2023 14:41:39,22835,2133,2133
1696344100.615,03/10/2023 14:41:40,25379,2544,2544
1696344101.615,03/10/2023 14:41:41,27893,2514,2514
1696344102.615,03/10/2023 14:41:42,30344,2451,2451
1696344103.616,03/10/2023 14:41:43,33088,2744,2741.259
1696344104.616,03/10/2023 14:41:44,35442,2354,2354
1696344105.616,03/10/2023 14:41:45,37784,2342,2342
1696344106.616,03/10/2023 14:41:46,39416,1632,1632
1696344107.616,03/10/2023 14:41:47,40919,1503,1503
1696344108.616,03/10/2023 14:41:48,42458,1539,1539
1696344109.616,03/10/2023 14:41:49,44035,1577,1577
1696344110.616,03/10/2023 14:41:50,45939,1904,1904
1696344111.616,03/10/2023 14:41:51,48022,2083,2083
1696344112.616,03/10/2023 14:41:52,50183,2161,2161
1696344113.616,03/10/2023 14:41:53,52247,2064,2064
1696344114.616,03/10/2023 14:41:54,54000,1753,1753
1696344115.616,03/10/2023 14:41:55,55635,1635,1635
1696344116.616,03/10/2023 14:41:56,57369,1734,1734
1696344117.617,03/10/2023 14:41:57,58931,1562,1560.44
1696344118.617,03/10/2023 14:41:58,60777,1846,1846
1696344119.617,03/10/2023 14:41:59,63145,2368,2368
1696344120.617,03/10/2023 14:42:00,65453,2308,2308
1696344121.617,03/10/2023 14:42:01,67638,2185,2185
1696344122.617,03/10/2023 14:42:02,69763,2125,2125
1696344123.617,03/10/2023 14:42:03,72002,2239,2239
1696344124.617,03/10/2023 14:42:04,73926,1924,1924
1696344125.617,03/10/2023 14:42:05,76006,2080,2080
1696344126.617,03/10/2023 14:42:06,78027,2021,2021
1696344127.617,03/10/2023 14:42:07,80169,2142,2142
1696344128.617,03/10/2023 14:42:08,82369,2200,2200
1696344129.617,03/10/2023 14:42:09,84534,2165,2165
1696344130.618,03/10/2023 14:42:10,86490,1956,1954.046
1696344131.618,03/10/2023 14:42:11,88636,2146,2146
1696344132.618,03/10/2023 14:42:12,90818,2182,2182
1696344133.618,03/10/2023 14:42:13,93034,2216,2216
1696344134.618,03/10/2023 14:42:14,95110,2076,2076
1696344135.618,03/10/2023 14:42:15,97318,2208,2208
1696344136.618,03/10/2023 14:42:16,99421,2103,2103
1696344137.618,03/10/2023 14:42:17,102228,2807,2807
1696344138.618,03/10/2023 14:42:18,105240,3012,3012
1696344139.618,03/10/2023 14:42:19,108165,2925,2925
1696344140.618,03/10/2023 14:42:20,111124,2959,2959
1696344141.618,03/10/2023 14:42:21,111160,36,36
1696344142.618,03/10/2023 14:42:22,113935,2775,2775
1696344143.619,03/10/2023 14:42:23,116742,2807,2804.196
1696344144.619,03/10/2023 14:42:24,119292,2550,2550
1696344145.619,03/10/2023 14:42:25,122132,2840,2840
1696344146.619,03/10/2023 14:42:26,124721,2589,2589
1696344147.619,03/10/2023 14:42:27,127481,2760,2760
1696344148.619,03/10/2023 14:42:28,130223,2742,2742
1696344149.619,03/10/2023 14:42:29,133016,2793,2793
1696344150.619,03/10/2023 14:42:30,135799,2783,2783
1696344151.619,03/10/2023 14:42:31,138487,2688,2688
1696344152.619,03/10/2023 14:42:32,141245,2758,2758
1696344153.619,03/10/2023 14:42:33,144118,2873,2873
1696344154.619,03/10/2023 14:42:34,146987,2869,2869
1696344155.619,03/10/2023 14:42:35,149800,2813,2813
1696344156.62,03/10/2023 14:42:36,152590,2790,2787.213
1696344157.62,03/10/2023 14:42:37,155383,2793,2793
1696344158.62,03/10/2023 14:42:38,158290,2907,2907
1696344159.62,03/10/2023 14:42:39,161174,2884,2884
1696344160.62,03/10/2023 14:42:40,164038,2864,2864
1696344161.62,03/10/2023 14:42:41,166596,2558,2558
1696344162.62,03/10/2023 14:42:42,169475,2879,2879
1696344163.62,03/10/2023 14:42:43,172366,2891,2891
