epoch,timestamp,operations,operations-delta,operations/second
1697039262.8,11/10/2023 15:47:42,539,539,538.462
1697039263.8,11/10/2023 15:47:43,963,424,424
1697039264.8,11/10/2023 15:47:44,1252,289,289
1697039265.8,11/10/2023 15:47:45,1434,182,182
1697039266.8,11/10/2023 15:47:46,1563,129,129
1697039267.8,11/10/2023 15:47:47,1669,106,106
1697039268.8,11/10/2023 15:47:48,1779,110,110
1697039269.8,11/10/2023 15:47:49,1892,113,113
1697039270.8,11/10/2023 15:47:50,2001,109,109
1697039271.8,11/10/2023 15:47:51,2111,110,110
1697039272.8,11/10/2023 15:47:52,2214,103,103
1697039273.8,11/10/2023 15:47:53,2357,143,143
1697039274.8,11/10/2023 15:47:54,2608,251,251
1697039275.801,11/10/2023 15:47:55,2800,192,191.808
1697039276.801,11/10/2023 15:47:56,2989,189,189
1697039277.801,11/10/2023 15:47:57,3114,125,125
1697039278.801,11/10/2023 15:47:58,3222,108,108
1697039279.801,11/10/2023 15:47:59,3320,98,98
1697039280.801,11/10/2023 15:48:00,3449,129,129
1697039281.801,11/10/2023 15:48:01,3583,134,134
1697039282.801,11/10/2023 15:48:02,3693,110,110
1697039283.801,11/10/2023 15:48:03,3758,65,65
1697039284.801,11/10/2023 15:48:04,3849,91,91
1697039285.801,11/10/2023 15:48:05,3945,96,96
1697039286.801,11/10/2023 15:48:06,4011,66,66
1697039287.801,11/10/2023 15:48:07,4094,83,83
1697039288.801,11/10/2023 15:48:08,4174,80,80
1697039289.801,11/10/2023 15:48:09,4219,45,45
1697039290.802,11/10/2023 15:48:10,4300,81,80.919
1697039291.802,11/10/2023 15:48:11,4342,42,42
1697039292.802,11/10/2023 15:48:12,4420,78,78
1697039293.802,11/10/2023 15:48:13,4462,42,42
1697039294.802,11/10/2023 15:48:14,4560,98,98
1697039295.802,11/10/2023 15:48:15,4624,64,64
1697039296.802,11/10/2023 15:48:16,4698,74,74
1697039297.802,11/10/2023 15:48:17,4794,96,96
