epoch,timestamp,operations,operations-delta,operations/second
1697029716.973,11/10/2023 13:08:36,473,473,472.527
1697029717.973,11/10/2023 13:08:37,887,414,414
1697029718.973,11/10/2023 13:08:38,1098,211,211
1697029719.973,11/10/2023 13:08:39,1339,241,241
1697029720.973,11/10/2023 13:08:40,1453,114,114
1697029721.973,11/10/2023 13:08:41,1728,275,275
1697029722.973,11/10/2023 13:08:42,1958,230,230
1697029723.973,11/10/2023 13:08:43,2137,179,179
1697029724.973,11/10/2023 13:08:44,2259,122,122
1697029725.973,11/10/2023 13:08:45,2376,117,117
1697029726.973,11/10/2023 13:08:46,2482,106,106
1697029727.973,11/10/2023 13:08:47,2587,105,105
1697029728.973,11/10/2023 13:08:48,2790,203,203
1697029729.974,11/10/2023 13:08:49,3014,224,223.776
1697029730.974,11/10/2023 13:08:50,3217,203,203
1697029731.974,11/10/2023 13:08:51,3386,169,169
1697029732.974,11/10/2023 13:08:52,3554,168,168
1697029733.974,11/10/2023 13:08:53,3795,241,241
1697029734.974,11/10/2023 13:08:54,4040,245,245
1697029735.974,11/10/2023 13:08:55,4275,235,235
1697029736.974,11/10/2023 13:08:56,4487,212,212
1697029737.974,11/10/2023 13:08:57,4692,205,205
1697029738.974,11/10/2023 13:08:58,4812,120,120
1697029739.974,11/10/2023 13:08:59,4973,161,161
1697029740.974,11/10/2023 13:09:00,5186,213,213
1697029741.974,11/10/2023 13:09:01,5390,204,204
1697029742.974,11/10/2023 13:09:02,5573,183,183
1697029743.974,11/10/2023 13:09:03,5736,163,163
1697029744.975,11/10/2023 13:09:04,5893,157,156.843
1697029745.975,11/10/2023 13:09:05,6050,157,157
1697029746.975,11/10/2023 13:09:06,6213,163,163
1697029747.975,11/10/2023 13:09:07,6327,114,114
1697029748.975,11/10/2023 13:09:08,6442,115,115
1697029749.975,11/10/2023 13:09:09,6567,125,125
1697029750.975,11/10/2023 13:09:10,6707,140,140
1697029751.975,11/10/2023 13:09:11,6795,88,88
1697029752.975,11/10/2023 13:09:12,6901,106,106
1697029753.975,11/10/2023 13:09:13,7009,108,108
1697029754.975,11/10/2023 13:09:14,7104,95,95
1697029755.975,11/10/2023 13:09:15,7156,52,52
1697029756.975,11/10/2023 13:09:16,7255,99,99
1697029757.975,11/10/2023 13:09:17,7326,71,71
1697029758.975,11/10/2023 13:09:18,7390,64,64
