epoch,timestamp,operations,operations-delta,operations/second
1697106299.948,12/10/2023 10:24:59,22,22,22
1697106300.948,12/10/2023 10:25:00,55,33,33
1697106301.948,12/10/2023 10:25:01,69,14,14
1697106302.948,12/10/2023 10:25:02,102,33,33
1697106303.949,12/10/2023 10:25:03,138,36,35.964
1697106304.949,12/10/2023 10:25:04,163,25,25
1697106305.949,12/10/2023 10:25:05,197,34,34
1697106306.949,12/10/2023 10:25:06,227,30,30
1697106307.949,12/10/2023 10:25:07,243,16,16
1697106308.949,12/10/2023 10:25:08,279,36,36
1697106309.949,12/10/2023 10:25:09,311,32,32
1697106310.949,12/10/2023 10:25:10,348,37,37
1697106311.949,12/10/2023 10:25:11,362,14,14
1697106312.949,12/10/2023 10:25:12,397,35,35
1697106313.949,12/10/2023 10:25:13,425,28,28
1697106314.949,12/10/2023 10:25:14,464,39,39
1697106315.949,12/10/2023 10:25:15,485,21,21
1697106316.949,12/10/2023 10:25:16,518,33,33
1697106317.95,12/10/2023 10:25:17,554,36,35.964
1697106318.95,12/10/2023 10:25:18,565,11,11
1697106319.95,12/10/2023 10:25:19,604,39,39
1697106320.95,12/10/2023 10:25:20,635,31,31
1697106321.95,12/10/2023 10:25:21,664,29,29
1697106322.95,12/10/2023 10:25:22,690,26,26
1697106323.95,12/10/2023 10:25:23,721,31,31
1697106324.95,12/10/2023 10:25:24,750,29,29
1697106325.95,12/10/2023 10:25:25,775,25,25
1697106326.95,12/10/2023 10:25:26,806,31,31
1697106327.95,12/10/2023 10:25:27,845,39,39
1697106328.95,12/10/2023 10:25:28,866,21,21
1697106329.95,12/10/2023 10:25:29,904,38,38
1697106330.95,12/10/2023 10:25:30,922,18,18
1697106331.951,12/10/2023 10:25:31,965,43,42.957
1697106332.951,12/10/2023 10:25:32,989,24,24
1697106333.951,12/10/2023 10:25:33,1023,34,34
1697106334.951,12/10/2023 10:25:34,1037,14,14
1697106335.951,12/10/2023 10:25:35,1075,38,38
1697106336.951,12/10/2023 10:25:36,1109,34,34
1697106337.951,12/10/2023 10:25:37,1136,27,27
1697106338.951,12/10/2023 10:25:38,1162,26,26
1697106339.951,12/10/2023 10:25:39,1191,29,29
1697106340.951,12/10/2023 10:25:40,1222,31,31
1697106341.951,12/10/2023 10:25:41,1242,20,20
1697106342.951,12/10/2023 10:25:42,1274,32,32
1697106343.951,12/10/2023 10:25:43,1314,40,40
1697106344.952,12/10/2023 10:25:44,1341,27,26.973
1697106345.952,12/10/2023 10:25:45,1383,42,42
1697106346.952,12/10/2023 10:25:46,1401,18,18
1697106347.952,12/10/2023 10:25:47,1435,34,34
1697106348.952,12/10/2023 10:25:48,1474,39,39
1697106349.952,12/10/2023 10:25:49,1501,27,27
1697106350.952,12/10/2023 10:25:50,1541,40,40
1697106351.952,12/10/2023 10:25:51,1584,43,43
1697106352.952,12/10/2023 10:25:52,1630,46,46
1697106353.952,12/10/2023 10:25:53,1640,10,10
1697106354.952,12/10/2023 10:25:54,1682,42,42
1697106355.952,12/10/2023 10:25:55,1714,32,32
