epoch,timestamp,operations,operations-delta,operations/second
1696937380.657,10/10/2023 11:29:40,72,72,72
1696937381.657,10/10/2023 11:29:41,133,61,61
1696937382.658,10/10/2023 11:29:42,212,79,78.921
1696937383.658,10/10/2023 11:29:43,217,5,5
1696937384.658,10/10/2023 11:29:44,308,91,91
1696937385.658,10/10/2023 11:29:45,334,26,26
1696937386.658,10/10/2023 11:29:46,421,87,87
1696937387.658,10/10/2023 11:29:47,435,14,14
1696937388.658,10/10/2023 11:29:48,528,93,93
1696937389.658,10/10/2023 11:29:49,552,24,24
1696937390.658,10/10/2023 11:29:50,642,90,90
1696937391.658,10/10/2023 11:29:51,663,21,21
1696937392.658,10/10/2023 11:29:52,757,94,94
1696937393.658,10/10/2023 11:29:53,779,22,22
1696937394.658,10/10/2023 11:29:54,870,91,91
1696937395.658,10/10/2023 11:29:55,896,26,26
1696937396.659,10/10/2023 11:29:56,991,95,94.905
1696937397.659,10/10/2023 11:29:57,1015,24,24
1696937398.659,10/10/2023 11:29:58,1110,95,95
1696937399.659,10/10/2023 11:29:59,1132,22,22
1696937400.659,10/10/2023 11:30:00,1230,98,98
1696937401.659,10/10/2023 11:30:01,1252,22,22
1696937402.659,10/10/2023 11:30:02,1349,97,97
1696937403.659,10/10/2023 11:30:03,1371,22,22
1696937404.659,10/10/2023 11:30:04,1469,98,98
1696937405.659,10/10/2023 11:30:05,1491,22,22
1696937406.659,10/10/2023 11:30:06,1588,97,97
1696937407.659,10/10/2023 11:30:07,1610,22,22
1696937408.66,10/10/2023 11:30:08,1708,98,97.902
1696937409.66,10/10/2023 11:30:09,1730,22,22
1696937410.66,10/10/2023 11:30:10,1828,98,98
1696937411.66,10/10/2023 11:30:11,1850,22,22
1696937412.66,10/10/2023 11:30:12,1947,97,97
1696937413.66,10/10/2023 11:30:13,1969,22,22
1696937414.66,10/10/2023 11:30:14,2061,92,92
1696937415.66,10/10/2023 11:30:15,2089,28,28
1696937416.66,10/10/2023 11:30:16,2186,97,97
1696937417.66,10/10/2023 11:30:17,2208,22,22
1696937418.66,10/10/2023 11:30:18,2306,98,98
1696937419.66,10/10/2023 11:30:19,2328,22,22
1696937420.66,10/10/2023 11:30:20,2423,95,95
1696937421.661,10/10/2023 11:30:21,2448,25,24.975
1696937422.661,10/10/2023 11:30:22,2545,97,97
1696937423.661,10/10/2023 11:30:23,2567,22,22
1696937424.661,10/10/2023 11:30:24,2665,98,98
1696937425.661,10/10/2023 11:30:25,2687,22,22
1696937426.661,10/10/2023 11:30:26,2779,92,92
1696937427.661,10/10/2023 11:30:27,2806,27,27
1696937428.661,10/10/2023 11:30:28,2904,98,98
1696937429.661,10/10/2023 11:30:29,2926,22,22
1696937430.661,10/10/2023 11:30:30,3024,98,98
1696937431.661,10/10/2023 11:30:31,3046,22,22
1696937432.661,10/10/2023 11:30:32,3143,97,97
1696937433.661,10/10/2023 11:30:33,3165,22,22
1696937434.661,10/10/2023 11:30:34,3260,95,95
1696937435.661,10/10/2023 11:30:35,3285,25,25
1696937436.662,10/10/2023 11:30:36,3382,97,96.903
1696937437.662,10/10/2023 11:30:37,3404,22,22
1696937438.662,10/10/2023 11:30:38,3404,0,0
1696937439.662,10/10/2023 11:30:39,3404,0,0
1696937440.662,10/10/2023 11:30:40,3443,39,39
1696937441.662,10/10/2023 11:30:41,3443,0,0
1696937442.662,10/10/2023 11:30:42,3499,56,56
1696937443.662,10/10/2023 11:30:43,3499,0,0
1696937444.662,10/10/2023 11:30:44,3523,24,24
1696937445.662,10/10/2023 11:30:45,3523,0,0
1696937446.662,10/10/2023 11:30:46,3523,0,0
1696937447.662,10/10/2023 11:30:47,3523,0,0
1696937448.662,10/10/2023 11:30:48,3523,0,0
1696937449.662,10/10/2023 11:30:49,3523,0,0
1696937450.663,10/10/2023 11:30:50,3561,38,37.962
1696937451.663,10/10/2023 11:30:51,3561,0,0
1696937452.663,10/10/2023 11:30:52,3617,56,56
1696937453.663,10/10/2023 11:30:53,3617,0,0
1696937454.663,10/10/2023 11:30:54,3641,24,24
1696937455.663,10/10/2023 11:30:55,3641,0,0
1696937456.663,10/10/2023 11:30:56,3641,0,0
1696937457.663,10/10/2023 11:30:57,3641,0,0
1696937458.663,10/10/2023 11:30:58,3641,0,0
1696937459.663,10/10/2023 11:30:59,3641,0,0
1696937460.663,10/10/2023 11:31:00,3679,38,38
1696937461.663,10/10/2023 11:31:01,3679,0,0
1696937462.663,10/10/2023 11:31:02,3735,56,56
1696937463.663,10/10/2023 11:31:03,3735,0,0
1696937464.664,10/10/2023 11:31:04,3759,24,23.976
1696937465.664,10/10/2023 11:31:05,3759,0,0
1696937466.664,10/10/2023 11:31:06,3759,0,0
1696937467.664,10/10/2023 11:31:07,3759,0,0
1696937468.664,10/10/2023 11:31:08,3770,11,11
1696937469.664,10/10/2023 11:31:09,3770,0,0
1696937470.664,10/10/2023 11:31:10,3809,39,39
1696937471.664,10/10/2023 11:31:11,3809,0,0
1696937472.664,10/10/2023 11:31:12,3865,56,56
1696937473.664,10/10/2023 11:31:13,3865,0,0
1696937474.664,10/10/2023 11:31:14,3877,12,12
1696937475.664,10/10/2023 11:31:15,3877,0,0
1696937476.665,10/10/2023 11:31:16,3889,12,11.988
1696937477.665,10/10/2023 11:31:17,3889,0,0
1696937478.665,10/10/2023 11:31:18,3915,26,26
1696937479.665,10/10/2023 11:31:19,3915,0,0
1696937480.665,10/10/2023 11:31:20,3948,33,33
1696937481.665,10/10/2023 11:31:21,3948,0,0
1696937482.665,10/10/2023 11:31:22,3995,47,47
1696937483.665,10/10/2023 11:31:23,3995,0,0
1696937484.665,10/10/2023 11:31:24,4007,12,12
1696937485.665,10/10/2023 11:31:25,4007,0,0
1696937486.665,10/10/2023 11:31:26,4034,27,27
1696937487.665,10/10/2023 11:31:27,4034,0,0
1696937488.666,10/10/2023 11:31:28,4063,29,28.971
1696937489.666,10/10/2023 11:31:29,4063,0,0
1696937490.666,10/10/2023 11:31:30,4099,36,36
1696937491.666,10/10/2023 11:31:31,4099,0,0
1696937492.666,10/10/2023 11:31:32,4125,26,26
1696937493.666,10/10/2023 11:31:33,4125,0,0
1696937494.666,10/10/2023 11:31:34,4152,27,27
1696937495.666,10/10/2023 11:31:35,4152,0,0
1696937496.666,10/10/2023 11:31:36,4182,30,30
1696937497.666,10/10/2023 11:31:37,4182,0,0
1696937498.666,10/10/2023 11:31:38,4217,35,35
1696937499.666,10/10/2023 11:31:39,4217,0,0
1696937500.667,10/10/2023 11:31:40,4244,27,26.973
1696937501.667,10/10/2023 11:31:41,4244,0,0
1696937502.667,10/10/2023 11:31:42,4244,0,0
1696937503.667,10/10/2023 11:31:43,4244,0,0
1696937504.667,10/10/2023 11:31:44,4244,0,0
1696937505.667,10/10/2023 11:31:45,4244,0,0
1696937506.667,10/10/2023 11:31:46,4244,0,0
1696937507.667,10/10/2023 11:31:47,4244,0,0
1696937508.667,10/10/2023 11:31:48,4257,13,13
1696937509.667,10/10/2023 11:31:49,4257,0,0
1696937510.667,10/10/2023 11:31:50,4269,12,12
1696937511.667,10/10/2023 11:31:51,4269,0,0
1696937512.667,10/10/2023 11:31:52,4298,29,29
1696937513.667,10/10/2023 11:31:53,4298,0,0
1696937514.668,10/10/2023 11:31:54,4334,36,35.964
1696937515.668,10/10/2023 11:31:55,4334,0,0
1696937516.668,10/10/2023 11:31:56,4361,27,27
1696937517.668,10/10/2023 11:31:57,4361,0,0
1696937518.668,10/10/2023 11:31:58,4361,0,0
1696937519.668,10/10/2023 11:31:59,4361,0,0
1696937520.668,10/10/2023 11:32:00,4361,0,0
1696937521.668,10/10/2023 11:32:01,4361,0,0
1696937522.668,10/10/2023 11:32:02,4361,0,0
1696937523.668,10/10/2023 11:32:03,4361,0,0
1696937524.668,10/10/2023 11:32:04,4374,13,13
1696937525.668,10/10/2023 11:32:05,4374,0,0
1696937526.668,10/10/2023 11:32:06,4386,12,12
1696937527.668,10/10/2023 11:32:07,4386,0,0
1696937528.668,10/10/2023 11:32:08,4415,29,29
1696937529.669,10/10/2023 11:32:09,4415,0,0
1696937530.669,10/10/2023 11:32:10,4451,36,36
1696937531.669,10/10/2023 11:32:11,4451,0,0
1696937532.669,10/10/2023 11:32:12,4477,26,26
1696937533.669,10/10/2023 11:32:13,4477,0,0
1696937534.669,10/10/2023 11:32:14,4477,0,0
1696937535.669,10/10/2023 11:32:15,4477,0,0
1696937536.669,10/10/2023 11:32:16,4477,0,0
1696937537.669,10/10/2023 11:32:17,4477,0,0
1696937538.669,10/10/2023 11:32:18,4477,0,0
1696937539.669,10/10/2023 11:32:19,4477,0,0
1696937540.669,10/10/2023 11:32:20,4491,14,14
1696937541.669,10/10/2023 11:32:21,4491,0,0
1696937542.669,10/10/2023 11:32:22,4502,11,11
1696937543.67,10/10/2023 11:32:23,4502,0,0
1696937544.67,10/10/2023 11:32:24,4532,30,30
1696937545.67,10/10/2023 11:32:25,4532,0,0
1696937546.67,10/10/2023 11:32:26,4568,36,36
1696937547.67,10/10/2023 11:32:27,4568,0,0
1696937548.67,10/10/2023 11:32:28,4594,26,26
1696937549.67,10/10/2023 11:32:29,4594,0,0
1696937550.67,10/10/2023 11:32:30,4594,0,0
1696937551.67,10/10/2023 11:32:31,4594,0,0
