epoch,timestamp,operations,operations-delta,operations/second
1696868804.882,09/10/2023 16:26:44,180,180,179.82
1696868805.882,09/10/2023 16:26:45,388,208,208
1696868806.882,09/10/2023 16:26:46,603,215,215
1696868807.882,09/10/2023 16:26:47,782,179,179
1696868808.883,09/10/2023 16:26:48,975,193,192.807
1696868809.883,09/10/2023 16:26:49,1167,192,192
1696868810.883,09/10/2023 16:26:50,1355,188,188
1696868811.883,09/10/2023 16:26:51,1541,186,186
1696868812.883,09/10/2023 16:26:52,1721,180,180
1696868813.883,09/10/2023 16:26:53,1905,184,184
1696868814.883,09/10/2023 16:26:54,2085,180,180
1696868815.883,09/10/2023 16:26:55,2269,184,184
1696868816.883,09/10/2023 16:26:56,2470,201,201
1696868817.883,09/10/2023 16:26:57,2656,186,186
1696868818.883,09/10/2023 16:26:58,2856,200,200
1696868819.883,09/10/2023 16:26:59,3030,174,174
1696868820.883,09/10/2023 16:27:00,3210,180,180
1696868821.884,09/10/2023 16:27:01,3396,186,185.814
1696868822.884,09/10/2023 16:27:02,3589,193,193
1696868823.884,09/10/2023 16:27:03,3769,180,180
1696868824.884,09/10/2023 16:27:04,3955,186,186
1696868825.884,09/10/2023 16:27:05,4134,179,179
1696868826.884,09/10/2023 16:27:06,4339,205,205
1696868827.884,09/10/2023 16:27:07,4532,193,193
1696868828.884,09/10/2023 16:27:08,4709,177,177
1696868829.884,09/10/2023 16:27:09,4905,196,196
1696868830.884,09/10/2023 16:27:10,5088,183,183
1696868831.884,09/10/2023 16:27:11,5275,187,187
1696868832.884,09/10/2023 16:27:12,5466,191,191
1696868833.884,09/10/2023 16:27:13,5666,200,200
1696868834.885,09/10/2023 16:27:14,5855,189,188.811
1696868835.885,09/10/2023 16:27:15,6039,184,184
1696868836.885,09/10/2023 16:27:16,6248,209,209
1696868837.885,09/10/2023 16:27:17,6439,191,191
1696868838.885,09/10/2023 16:27:18,6625,186,186
1696868839.885,09/10/2023 16:27:19,6804,179,179
1696868840.885,09/10/2023 16:27:20,6987,183,183
1696868841.885,09/10/2023 16:27:21,7177,190,190
1696868842.885,09/10/2023 16:27:22,7367,190,190
1696868843.885,09/10/2023 16:27:23,7551,184,184
1696868844.885,09/10/2023 16:27:24,7777,226,226
1696868845.885,09/10/2023 16:27:25,7971,194,194
1696868846.885,09/10/2023 16:27:26,8152,181,181
1696868847.886,09/10/2023 16:27:27,8338,186,185.814
1696868848.886,09/10/2023 16:27:28,8518,180,180
1696868849.886,09/10/2023 16:27:29,8698,180,180
1696868850.886,09/10/2023 16:27:30,8878,180,180
1696868851.886,09/10/2023 16:27:31,9052,174,174
1696868852.886,09/10/2023 16:27:32,9248,196,196
1696868853.886,09/10/2023 16:27:33,9457,209,209
1696868854.886,09/10/2023 16:27:34,9642,185,185
1696868855.886,09/10/2023 16:27:35,9818,176,176
1696868856.886,09/10/2023 16:27:36,9999,181,181
1696868857.886,09/10/2023 16:27:37,10193,194,194
1696868858.886,09/10/2023 16:27:38,10381,188,188
1696868859.886,09/10/2023 16:27:39,10562,181,181
1696868860.887,09/10/2023 16:27:40,10754,192,191.808
1696868861.887,09/10/2023 16:27:41,10973,219,219
1696868862.887,09/10/2023 16:27:42,11164,191,191
1696868863.887,09/10/2023 16:27:43,11332,168,168
1696868864.887,09/10/2023 16:27:44,11534,202,202
1696868865.887,09/10/2023 16:27:45,11720,186,186
1696868866.887,09/10/2023 16:27:46,11893,173,173
1696868867.887,09/10/2023 16:27:47,12061,168,168
1696868868.887,09/10/2023 16:27:48,12231,170,170
1696868869.887,09/10/2023 16:27:49,12402,171,171
1696868870.887,09/10/2023 16:27:50,12586,184,184
1696868871.887,09/10/2023 16:27:51,12778,192,192
1696868872.887,09/10/2023 16:27:52,12986,208,208
1696868873.887,09/10/2023 16:27:53,13169,183,183
1696868874.888,09/10/2023 16:27:54,13354,185,184.815
1696868875.888,09/10/2023 16:27:55,13552,198,198
1696868876.888,09/10/2023 16:27:56,13739,187,187
1696868877.888,09/10/2023 16:27:57,13930,191,191
1696868878.888,09/10/2023 16:27:58,14124,194,194
1696868879.888,09/10/2023 16:27:59,14312,188,188
1696868880.888,09/10/2023 16:28:00,14518,206,206
1696868881.888,09/10/2023 16:28:01,14694,176,176
1696868882.888,09/10/2023 16:28:02,14871,177,177
1696868883.888,09/10/2023 16:28:03,15075,204,204
1696868884.888,09/10/2023 16:28:04,15255,180,180
1696868885.888,09/10/2023 16:28:05,15423,168,168
1696868886.888,09/10/2023 16:28:06,15607,184,184
1696868887.889,09/10/2023 16:28:07,15800,193,192.807
1696868888.889,09/10/2023 16:28:08,16016,216,216
1696868889.889,09/10/2023 16:28:09,16192,176,176
1696868890.889,09/10/2023 16:28:10,16382,190,190
1696868891.889,09/10/2023 16:28:11,16573,191,191
1696868892.889,09/10/2023 16:28:12,16748,175,175
1696868893.889,09/10/2023 16:28:13,16928,180,180
1696868894.889,09/10/2023 16:28:14,17126,198,198
1696868895.889,09/10/2023 16:28:15,17317,191,191
1696868896.889,09/10/2023 16:28:16,17498,181,181
1696868897.889,09/10/2023 16:28:17,17728,230,230
1696868898.889,09/10/2023 16:28:18,17921,193,193
1696868899.889,09/10/2023 16:28:19,18104,183,183
1696868900.889,09/10/2023 16:28:20,18304,200,200
1696868901.89,09/10/2023 16:28:21,18479,175,174.825
1696868902.89,09/10/2023 16:28:22,18653,174,174
1696868903.89,09/10/2023 16:28:23,18818,165,165
1696868904.89,09/10/2023 16:28:24,19004,186,186
1696868905.89,09/10/2023 16:28:25,19184,180,180
1696868906.89,09/10/2023 16:28:26,19364,180,180
1696868907.89,09/10/2023 16:28:27,19580,216,216
1696868908.89,09/10/2023 16:28:28,19764,184,184
1696868909.89,09/10/2023 16:28:29,19963,199,199
1696868910.89,09/10/2023 16:28:30,20170,207,207
1696868911.89,09/10/2023 16:28:31,20366,196,196
1696868912.89,09/10/2023 16:28:32,20574,208,208
1696868913.89,09/10/2023 16:28:33,20782,208,208
1696868914.891,09/10/2023 16:28:34,20982,200,199.8
1696868915.891,09/10/2023 16:28:35,21196,214,214
1696868916.891,09/10/2023 16:28:36,21380,184,184
1696868917.891,09/10/2023 16:28:37,21559,179,179
1696868918.891,09/10/2023 16:28:38,21752,193,193
1696868919.891,09/10/2023 16:28:39,21942,190,190
1696868920.891,09/10/2023 16:28:40,22133,191,191
1696868921.891,09/10/2023 16:28:41,22350,217,217
1696868922.891,09/10/2023 16:28:42,22535,185,185
1696868923.891,09/10/2023 16:28:43,22719,184,184
1696868924.891,09/10/2023 16:28:44,22905,186,186
1696868925.891,09/10/2023 16:28:45,23098,193,193
1696868926.891,09/10/2023 16:28:46,23275,177,177
1696868927.891,09/10/2023 16:28:47,23437,162,162
1696868928.892,09/10/2023 16:28:48,23629,192,191.808
1696868929.892,09/10/2023 16:28:49,23816,187,187
1696868930.892,09/10/2023 16:28:50,23994,178,178
1696868931.892,09/10/2023 16:28:51,24166,172,172
1696868932.892,09/10/2023 16:28:52,24369,203,203
1696868933.892,09/10/2023 16:28:53,24532,163,163
1696868934.892,09/10/2023 16:28:54,24709,177,177
1696868935.892,09/10/2023 16:28:55,24881,172,172
1696868936.892,09/10/2023 16:28:56,25047,166,166
1696868937.892,09/10/2023 16:28:57,25218,171,171
1696868938.892,09/10/2023 16:28:58,25403,185,185
1696868939.892,09/10/2023 16:28:59,25575,172,172
1696868940.892,09/10/2023 16:29:00,25739,164,164
1696868941.893,09/10/2023 16:29:01,25907,168,167.832
1696868942.893,09/10/2023 16:29:02,26081,174,174
1696868943.893,09/10/2023 16:29:03,26253,172,172
1696868944.893,09/10/2023 16:29:04,26425,172,172
1696868945.893,09/10/2023 16:29:05,26619,194,194
1696868946.893,09/10/2023 16:29:06,26794,175,175
1696868947.893,09/10/2023 16:29:07,26970,176,176
1696868948.893,09/10/2023 16:29:08,27150,180,180
1696868949.893,09/10/2023 16:29:09,27333,183,183
1696868950.893,09/10/2023 16:29:10,27504,171,171
1696868951.893,09/10/2023 16:29:11,27668,164,164
1696868952.893,09/10/2023 16:29:12,27848,180,180
1696868953.893,09/10/2023 16:29:13,28021,173,173
1696868954.894,09/10/2023 16:29:14,28203,182,181.818
1696868955.894,09/10/2023 16:29:15,28381,178,178
1696868956.894,09/10/2023 16:29:16,28559,178,178
1696868957.894,09/10/2023 16:29:17,28725,166,166
1696868958.894,09/10/2023 16:29:18,28889,164,164
1696868959.894,09/10/2023 16:29:19,29053,164,164
1696868960.894,09/10/2023 16:29:20,29263,210,210
1696868961.894,09/10/2023 16:29:21,29433,170,170
1696868962.894,09/10/2023 16:29:22,29603,170,170
1696868963.894,09/10/2023 16:29:23,29782,179,179
1696868964.894,09/10/2023 16:29:24,29964,182,182
1696868965.894,09/10/2023 16:29:25,30127,163,163
1696868966.894,09/10/2023 16:29:26,30320,193,193
1696868967.894,09/10/2023 16:29:27,30492,172,172
1696868968.895,09/10/2023 16:29:28,30664,172,171.828
1696868969.895,09/10/2023 16:29:29,30848,184,184
1696868970.895,09/10/2023 16:29:30,31018,170,170
1696868971.895,09/10/2023 16:29:31,31196,178,178
1696868972.895,09/10/2023 16:29:32,31365,169,169
1696868973.895,09/10/2023 16:29:33,31536,171,171
1696868974.895,09/10/2023 16:29:34,31716,180,180
1696868975.895,09/10/2023 16:29:35,31887,171,171
1696868976.895,09/10/2023 16:29:36,32063,176,176
1696868977.895,09/10/2023 16:29:37,32256,193,193
1696868978.895,09/10/2023 16:29:38,32431,175,175
1696868979.895,09/10/2023 16:29:39,32599,168,168
1696868980.895,09/10/2023 16:29:40,32768,169,169
1696868981.896,09/10/2023 16:29:41,32944,176,175.824
1696868982.896,09/10/2023 16:29:42,33119,175,175
1696868983.896,09/10/2023 16:29:43,33291,172,172
1696868984.896,09/10/2023 16:29:44,33477,186,186
1696868985.896,09/10/2023 16:29:45,33673,196,196
1696868986.896,09/10/2023 16:29:46,33864,191,191
1696868987.896,09/10/2023 16:29:47,34050,186,186
1696868988.896,09/10/2023 16:29:48,34271,221,221
1696868989.896,09/10/2023 16:29:49,34457,186,186
1696868990.896,09/10/2023 16:29:50,34649,192,192
1696868991.896,09/10/2023 16:29:51,34850,201,201
1696868992.896,09/10/2023 16:29:52,35018,168,168
1696868993.896,09/10/2023 16:29:53,35214,196,196
1696868994.896,09/10/2023 16:29:54,35405,191,191
1696868995.896,09/10/2023 16:29:55,35588,183,183
