epoch,timestamp,operations,operations-delta,operations/second
1695742230.175,26/09/2023 15:30:30,959,959,958.042
1695742231.175,26/09/2023 15:30:31,2305,1346,1346
1695742232.175,26/09/2023 15:30:32,3720,1415,1415
1695742233.175,26/09/2023 15:30:33,5293,1573,1573
1695742234.175,26/09/2023 15:30:34,6663,1370,1370
1695742235.175,26/09/2023 15:30:35,7924,1261,1261
1695742236.175,26/09/2023 15:30:36,9518,1594,1594
1695742237.175,26/09/2023 15:30:37,10625,1107,1107
1695742238.175,26/09/2023 15:30:38,12144,1519,1519
1695742239.175,26/09/2023 15:30:39,12948,804,804
1695742240.175,26/09/2023 15:30:40,13634,686,686
1695742241.175,26/09/2023 15:30:41,14344,710,710
1695742242.176,26/09/2023 15:30:42,15074,730,729.271
1695742243.176,26/09/2023 15:30:43,15829,755,755
1695742244.176,26/09/2023 15:30:44,16538,709,709
1695742245.176,26/09/2023 15:30:45,17358,820,820
1695742246.176,26/09/2023 15:30:46,19060,1702,1702
1695742247.176,26/09/2023 15:30:47,20709,1649,1649
1695742248.176,26/09/2023 15:30:48,22158,1449,1449
1695742249.176,26/09/2023 15:30:49,23791,1633,1633
1695742250.176,26/09/2023 15:30:50,25243,1452,1452
1695742251.176,26/09/2023 15:30:51,26541,1298,1298
1695742252.176,26/09/2023 15:30:52,28015,1474,1474
1695742253.176,26/09/2023 15:30:53,29623,1608,1608
1695742254.176,26/09/2023 15:30:54,31241,1618,1618
1695742255.176,26/09/2023 15:30:55,32548,1307,1307
1695742256.177,26/09/2023 15:30:56,34044,1496,1494.505
1695742257.177,26/09/2023 15:30:57,35734,1690,1690
1695742258.177,26/09/2023 15:30:58,37464,1730,1730
1695742259.177,26/09/2023 15:30:59,38967,1503,1503
1695742260.177,26/09/2023 15:31:00,40686,1719,1719
1695742261.177,26/09/2023 15:31:01,42395,1709,1709
1695742262.177,26/09/2023 15:31:02,44021,1626,1626
1695742263.177,26/09/2023 15:31:03,45592,1571,1571
1695742264.177,26/09/2023 15:31:04,47254,1662,1662
1695742265.177,26/09/2023 15:31:05,48669,1415,1415
1695742266.177,26/09/2023 15:31:06,49939,1270,1270
1695742267.177,26/09/2023 15:31:07,51429,1490,1490
1695742268.177,26/09/2023 15:31:08,53039,1610,1610
1695742269.177,26/09/2023 15:31:09,54722,1683,1683
1695742270.177,26/09/2023 15:31:10,56527,1805,1805
1695742271.178,26/09/2023 15:31:11,58205,1678,1676.324
1695742272.178,26/09/2023 15:31:12,60060,1855,1855
1695742273.178,26/09/2023 15:31:13,61955,1895,1895
1695742274.178,26/09/2023 15:31:14,63718,1763,1763
1695742275.178,26/09/2023 15:31:15,65548,1830,1830
1695742276.178,26/09/2023 15:31:16,67463,1915,1915
1695742277.178,26/09/2023 15:31:17,69117,1654,1654
1695742278.178,26/09/2023 15:31:18,71055,1938,1938
1695742279.178,26/09/2023 15:31:19,72937,1882,1882
1695742280.178,26/09/2023 15:31:20,74809,1872,1872
1695742281.178,26/09/2023 15:31:21,76656,1847,1847
1695742282.178,26/09/2023 15:31:22,78238,1582,1582
1695742283.178,26/09/2023 15:31:23,79913,1675,1675
1695742284.178,26/09/2023 15:31:24,81606,1693,1693
1695742285.179,26/09/2023 15:31:25,83319,1713,1711.289
1695742286.179,26/09/2023 15:31:26,85062,1743,1743
1695742287.179,26/09/2023 15:31:27,86687,1625,1625
1695742288.179,26/09/2023 15:31:28,88191,1504,1504
1695742289.179,26/09/2023 15:31:29,89750,1559,1559
1695742290.179,26/09/2023 15:31:30,91544,1794,1794
1695742291.179,26/09/2023 15:31:31,93308,1764,1764
1695742292.179,26/09/2023 15:31:32,95064,1756,1756
1695742293.179,26/09/2023 15:31:33,97014,1950,1950
1695742294.179,26/09/2023 15:31:34,98908,1894,1894
1695742295.179,26/09/2023 15:31:35,100843,1935,1935
1695742296.179,26/09/2023 15:31:36,102742,1899,1899
1695742297.179,26/09/2023 15:31:37,104752,2010,2010
1695742298.179,26/09/2023 15:31:38,106594,1842,1842
1695742299.18,26/09/2023 15:31:39,108301,1707,1705.295
1695742300.18,26/09/2023 15:31:40,110078,1777,1777
1695742301.18,26/09/2023 15:31:41,111873,1795,1795
1695742302.18,26/09/2023 15:31:42,113622,1749,1749
1695742303.18,26/09/2023 15:31:43,115288,1666,1666
1695742304.18,26/09/2023 15:31:44,116993,1705,1705
1695742305.18,26/09/2023 15:31:45,118701,1708,1708
1695742306.18,26/09/2023 15:31:46,120428,1727,1727
1695742307.18,26/09/2023 15:31:47,122185,1757,1757
1695742308.18,26/09/2023 15:31:48,123951,1766,1766
1695742309.18,26/09/2023 15:31:49,125708,1757,1757
1695742310.18,26/09/2023 15:31:50,127384,1676,1676
1695742311.18,26/09/2023 15:31:51,129017,1633,1633
1695742312.18,26/09/2023 15:31:52,130699,1682,1682
1695742313.181,26/09/2023 15:31:53,132437,1738,1736.264
1695742314.181,26/09/2023 15:31:54,134132,1695,1695
1695742315.181,26/09/2023 15:31:55,135901,1769,1769
1695742316.181,26/09/2023 15:31:56,137705,1804,1804
1695742317.181,26/09/2023 15:31:57,139456,1751,1751
