epoch,timestamp,operations,operations-delta,operations/second
1695744181.175,26/09/2023 16:03:01,671,671,670.33
1695744182.175,26/09/2023 16:03:02,1802,1131,1131
1695744183.175,26/09/2023 16:03:03,2979,1177,1177
1695744184.175,26/09/2023 16:03:04,3869,890,890
1695744185.175,26/09/2023 16:03:05,4797,928,928
1695744186.176,26/09/2023 16:03:06,5828,1031,1029.97
1695744187.176,26/09/2023 16:03:07,6981,1153,1153
1695744188.176,26/09/2023 16:03:08,7928,947,947
1695744189.176,26/09/2023 16:03:09,9066,1138,1138
1695744190.176,26/09/2023 16:03:10,9559,493,493
1695744191.176,26/09/2023 16:03:11,10824,1265,1265
1695744192.176,26/09/2023 16:03:12,12096,1272,1272
1695744193.176,26/09/2023 16:03:13,13018,922,922
1695744194.176,26/09/2023 16:03:14,13474,456,456
1695744195.176,26/09/2023 16:03:15,13979,505,505
1695744196.176,26/09/2023 16:03:16,14480,501,501
1695744197.176,26/09/2023 16:03:17,14967,487,487
1695744198.176,26/09/2023 16:03:18,15410,443,443
1695744199.176,26/09/2023 16:03:19,16739,1329,1329
1695744200.177,26/09/2023 16:03:20,17908,1169,1167.832
1695744201.177,26/09/2023 16:03:21,19151,1243,1243
1695744202.177,26/09/2023 16:03:22,20464,1313,1313
1695744203.177,26/09/2023 16:03:23,21795,1331,1331
1695744204.177,26/09/2023 16:03:24,23117,1322,1322
1695744205.177,26/09/2023 16:03:25,24154,1037,1037
1695744206.177,26/09/2023 16:03:26,25342,1188,1188
1695744207.177,26/09/2023 16:03:27,26637,1295,1295
1695744208.177,26/09/2023 16:03:28,27918,1281,1281
1695744209.177,26/09/2023 16:03:29,29147,1229,1229
1695744210.177,26/09/2023 16:03:30,30376,1229,1229
1695744211.177,26/09/2023 16:03:31,31709,1333,1333
1695744212.177,26/09/2023 16:03:32,33041,1332,1332
1695744213.177,26/09/2023 16:03:33,34340,1299,1299
1695744214.178,26/09/2023 16:03:34,35685,1345,1343.656
1695744215.178,26/09/2023 16:03:35,37008,1323,1323
1695744216.178,26/09/2023 16:03:36,38279,1271,1271
1695744217.178,26/09/2023 16:03:37,39590,1311,1311
1695744218.178,26/09/2023 16:03:38,40915,1325,1325
1695744219.178,26/09/2023 16:03:39,42215,1300,1300
1695744220.178,26/09/2023 16:03:40,43549,1334,1334
1695744221.178,26/09/2023 16:03:41,44901,1352,1352
1695744222.178,26/09/2023 16:03:42,46244,1343,1343
1695744223.178,26/09/2023 16:03:43,47487,1243,1243
1695744224.178,26/09/2023 16:03:44,48784,1297,1297
1695744225.178,26/09/2023 16:03:45,50104,1320,1320
1695744226.178,26/09/2023 16:03:46,51415,1311,1311
1695744227.178,26/09/2023 16:03:47,52644,1229,1229
1695744228.178,26/09/2023 16:03:48,53910,1266,1266
1695744229.179,26/09/2023 16:03:49,55174,1264,1262.737
1695744230.179,26/09/2023 16:03:50,56320,1146,1146
1695744231.179,26/09/2023 16:03:51,57488,1168,1168
1695744232.179,26/09/2023 16:03:52,58718,1230,1230
1695744233.179,26/09/2023 16:03:53,59916,1198,1198
1695744234.179,26/09/2023 16:03:54,61157,1241,1241
1695744235.179,26/09/2023 16:03:55,62412,1255,1255
1695744236.179,26/09/2023 16:03:56,63677,1265,1265
1695744237.179,26/09/2023 16:03:57,64873,1196,1196
1695744238.179,26/09/2023 16:03:58,66129,1256,1256
1695744239.179,26/09/2023 16:03:59,67367,1238,1238
1695744240.179,26/09/2023 16:04:00,68591,1224,1224
1695744241.179,26/09/2023 16:04:01,69841,1250,1250
1695744242.18,26/09/2023 16:04:02,71092,1251,1249.75
1695744243.18,26/09/2023 16:04:03,72323,1231,1231
1695744244.18,26/09/2023 16:04:04,73548,1225,1225
1695744245.18,26/09/2023 16:04:05,74827,1279,1279
1695744246.18,26/09/2023 16:04:06,76076,1249,1249
1695744247.18,26/09/2023 16:04:07,77267,1191,1191
1695744248.18,26/09/2023 16:04:08,78484,1217,1217
1695744249.18,26/09/2023 16:04:09,79692,1208,1208
1695744250.18,26/09/2023 16:04:10,80923,1231,1231
1695744251.18,26/09/2023 16:04:11,82112,1189,1189
1695744252.18,26/09/2023 16:04:12,83376,1264,1264
1695744253.18,26/09/2023 16:04:13,84586,1210,1210
1695744254.18,26/09/2023 16:04:14,85769,1183,1183
1695744255.18,26/09/2023 16:04:15,86986,1217,1217
1695744256.181,26/09/2023 16:04:16,88223,1237,1235.764
1695744257.181,26/09/2023 16:04:17,89451,1228,1228
1695744258.181,26/09/2023 16:04:18,90617,1166,1166
1695744259.181,26/09/2023 16:04:19,91913,1296,1296
1695744260.181,26/09/2023 16:04:20,93179,1266,1266
1695744261.181,26/09/2023 16:04:21,94465,1286,1286
1695744262.181,26/09/2023 16:04:22,95844,1379,1379
1695744263.181,26/09/2023 16:04:23,97193,1349,1349
1695744264.181,26/09/2023 16:04:24,98538,1345,1345
1695744265.181,26/09/2023 16:04:25,99872,1334,1334
1695744266.181,26/09/2023 16:04:26,101268,1396,1396
1695744267.181,26/09/2023 16:04:27,102606,1338,1338
1695744268.181,26/09/2023 16:04:28,103920,1314,1314
1695744269.181,26/09/2023 16:04:29,105305,1385,1385
1695744270.181,26/09/2023 16:04:30,106737,1432,1432
1695744271.182,26/09/2023 16:04:31,108085,1348,1346.653
1695744272.182,26/09/2023 16:04:32,109528,1443,1443
1695744273.182,26/09/2023 16:04:33,110914,1386,1386
1695744274.182,26/09/2023 16:04:34,112222,1308,1308
1695744275.182,26/09/2023 16:04:35,113552,1330,1330
1695744276.182,26/09/2023 16:04:36,114911,1359,1359
1695744277.182,26/09/2023 16:04:37,116208,1297,1297
1695744278.182,26/09/2023 16:04:38,117551,1343,1343
1695744279.182,26/09/2023 16:04:39,118863,1312,1312
1695744280.182,26/09/2023 16:04:40,120112,1249,1249
1695744281.182,26/09/2023 16:04:41,121455,1343,1343
1695744282.182,26/09/2023 16:04:42,122824,1369,1369
1695744283.182,26/09/2023 16:04:43,124153,1329,1329
1695744284.182,26/09/2023 16:04:44,125509,1356,1356
1695744285.183,26/09/2023 16:04:45,126835,1326,1324.675
1695744286.183,26/09/2023 16:04:46,128170,1335,1335
1695744287.183,26/09/2023 16:04:47,129448,1278,1278
1695744288.183,26/09/2023 16:04:48,130806,1358,1358
1695744289.183,26/09/2023 16:04:49,132150,1344,1344
1695744290.183,26/09/2023 16:04:50,133469,1319,1319
1695744291.183,26/09/2023 16:04:51,134790,1321,1321
1695744292.183,26/09/2023 16:04:52,136151,1361,1361
1695744293.183,26/09/2023 16:04:53,137476,1325,1325
1695744294.183,26/09/2023 16:04:54,138816,1340,1340
1695744295.183,26/09/2023 16:04:55,140179,1363,1363
1695744296.183,26/09/2023 16:04:56,141511,1332,1332
1695744297.183,26/09/2023 16:04:57,142886,1375,1375
1695744298.183,26/09/2023 16:04:58,144254,1368,1368
1695744299.184,26/09/2023 16:04:59,145607,1353,1351.648
