epoch,timestamp,operations,operations-delta,operations/second
1695660835.639,25/09/2023 16:53:55,27477,27477,27449.55
1695660836.639,25/09/2023 16:53:56,68902,41425,41425
1695660837.639,25/09/2023 16:53:57,104830,35928,35928
1695660838.639,25/09/2023 16:53:58,139030,34200,34200
1695660839.639,25/09/2023 16:53:59,173050,34020,34020
1695660840.639,25/09/2023 16:54:00,206489,33439,33439
1695660841.639,25/09/2023 16:54:01,239621,33132,33132
1695660842.639,25/09/2023 16:54:02,270586,30965,30965
1695660843.639,25/09/2023 16:54:03,302805,32219,32219
1695660844.639,25/09/2023 16:54:04,337217,34412,34412
1695660845.64,25/09/2023 16:54:05,371203,33986,33952.048
1695660846.64,25/09/2023 16:54:06,419757,48554,48554
1695660847.64,25/09/2023 16:54:07,464967,45210,45210
1695660848.64,25/09/2023 16:54:08,510734,45767,45767
1695660849.64,25/09/2023 16:54:09,552673,41939,41939
1695660850.64,25/09/2023 16:54:10,595581,42908,42908
1695660851.64,25/09/2023 16:54:11,638562,42981,42981
1695660852.64,25/09/2023 16:54:12,681009,42447,42447
1695660853.64,25/09/2023 16:54:13,723019,42010,42010
1695660854.64,25/09/2023 16:54:14,765910,42891,42891
1695660855.64,25/09/2023 16:54:15,808786,42876,42876
1695660856.64,25/09/2023 16:54:16,851270,42484,42484
1695660857.64,25/09/2023 16:54:17,894650,43380,43380
1695660858.64,25/09/2023 16:54:18,927958,33308,33308
1695660859.641,25/09/2023 16:54:19,969779,41821,41779.221
1695660860.641,25/09/2023 16:54:20,1012912,43133,43133
1695660861.641,25/09/2023 16:54:21,1055940,43028,43028
1695660862.641,25/09/2023 16:54:22,1099187,43247,43247
1695660863.641,25/09/2023 16:54:23,1143283,44096,44096
1695660864.641,25/09/2023 16:54:24,1186432,43149,43149
1695660865.641,25/09/2023 16:54:25,1228842,42410,42410
1695660866.641,25/09/2023 16:54:26,1271126,42284,42284
1695660867.641,25/09/2023 16:54:27,1313998,42872,42872
1695660868.641,25/09/2023 16:54:28,1356768,42770,42770
1695660869.641,25/09/2023 16:54:29,1399997,43229,43229
1695660870.641,25/09/2023 16:54:30,1442700,42703,42703
1695660871.641,25/09/2023 16:54:31,1489568,46868,46868
1695660872.641,25/09/2023 16:54:32,1536341,46773,46773
1695660873.642,25/09/2023 16:54:33,1585605,49264,49214.785
1695660874.642,25/09/2023 16:54:34,1633270,47665,47665
1695660875.642,25/09/2023 16:54:35,1680034,46764,46764
1695660876.642,25/09/2023 16:54:36,1726636,46602,46602
