epoch,timestamp,operations,operations-delta,operations/second
1695661779.365,25/09/2023 17:09:39,5736,5736,5730.27
1695661780.365,25/09/2023 17:09:40,13602,7866,7866
1695661781.365,25/09/2023 17:09:41,22576,8974,8974
1695661782.365,25/09/2023 17:09:42,31733,9157,9157
1695661783.365,25/09/2023 17:09:43,39179,7446,7446
1695661784.365,25/09/2023 17:09:44,48911,9732,9732
1695661785.365,25/09/2023 17:09:45,59306,10395,10395
1695661786.365,25/09/2023 17:09:46,66060,6754,6754
1695661787.365,25/09/2023 17:09:47,74343,8283,8283
1695661788.366,25/09/2023 17:09:48,84742,10399,10388.611
1695661789.366,25/09/2023 17:09:49,90899,6157,6157
1695661790.366,25/09/2023 17:09:50,96963,6064,6064
1695661791.366,25/09/2023 17:09:51,103038,6075,6075
1695661792.366,25/09/2023 17:09:52,108811,5773,5773
1695661793.366,25/09/2023 17:09:53,115232,6421,6421
1695661794.366,25/09/2023 17:09:54,124533,9301,9301
1695661795.366,25/09/2023 17:09:55,133219,8686,8686
1695661796.366,25/09/2023 17:09:56,141955,8736,8736
1695661797.366,25/09/2023 17:09:57,150202,8247,8247
1695661798.366,25/09/2023 17:09:58,157945,7743,7743
1695661799.366,25/09/2023 17:09:59,165949,8004,8004
1695661800.366,25/09/2023 17:10:00,173963,8014,8014
1695661801.366,25/09/2023 17:10:01,182223,8260,8260
1695661802.366,25/09/2023 17:10:02,190353,8130,8130
1695661803.367,25/09/2023 17:10:03,198556,8203,8194.805
1695661804.367,25/09/2023 17:10:04,206598,8042,8042
1695661805.367,25/09/2023 17:10:05,214673,8075,8075
1695661806.367,25/09/2023 17:10:06,222833,8160,8160
1695661807.367,25/09/2023 17:10:07,231594,8761,8761
1695661808.367,25/09/2023 17:10:08,241451,9857,9857
1695661809.367,25/09/2023 17:10:09,251920,10469,10469
1695661810.367,25/09/2023 17:10:10,262543,10623,10623
1695661811.367,25/09/2023 17:10:11,273036,10493,10493
1695661812.367,25/09/2023 17:10:12,283537,10501,10501
1695661813.367,25/09/2023 17:10:13,294123,10586,10586
1695661814.367,25/09/2023 17:10:14,304706,10583,10583
1695661815.367,25/09/2023 17:10:15,315441,10735,10735
1695661816.367,25/09/2023 17:10:16,326138,10697,10697
1695661817.368,25/09/2023 17:10:17,336848,10710,10699.301
1695661818.368,25/09/2023 17:10:18,347512,10664,10664
1695661819.368,25/09/2023 17:10:19,358358,10846,10846
1695661820.368,25/09/2023 17:10:20,369145,10787,10787
1695661821.368,25/09/2023 17:10:21,379759,10614,10614
1695661822.368,25/09/2023 17:10:22,390329,10570,10570
1695661823.368,25/09/2023 17:10:23,400937,10608,10608
1695661824.368,25/09/2023 17:10:24,411305,10368,10368
1695661825.368,25/09/2023 17:10:25,421791,10486,10486
1695661826.368,25/09/2023 17:10:26,432015,10224,10224
1695661827.368,25/09/2023 17:10:27,442376,10361,10361
1695661828.368,25/09/2023 17:10:28,452627,10251,10251
1695661829.368,25/09/2023 17:10:29,462257,9630,9630
1695661830.368,25/09/2023 17:10:30,471803,9546,9546
1695661831.369,25/09/2023 17:10:31,481679,9876,9866.134
1695661832.369,25/09/2023 17:10:32,491682,10003,10003
1695661833.369,25/09/2023 17:10:33,502024,10342,10342
1695661834.369,25/09/2023 17:10:34,512636,10612,10612
1695661835.369,25/09/2023 17:10:35,523065,10429,10429
1695661836.369,25/09/2023 17:10:36,533405,10340,10340
1695661837.369,25/09/2023 17:10:37,543679,10274,10274
1695661838.369,25/09/2023 17:10:38,554377,10698,10698
1695661839.369,25/09/2023 17:10:39,564880,10503,10503
1695661840.369,25/09/2023 17:10:40,575543,10663,10663
1695661841.369,25/09/2023 17:10:41,586111,10568,10568
1695661842.369,25/09/2023 17:10:42,596693,10582,10582
1695661843.369,25/09/2023 17:10:43,607425,10732,10732
1695661844.369,25/09/2023 17:10:44,618143,10718,10718
1695661845.37,25/09/2023 17:10:45,628894,10751,10740.26
1695661846.37,25/09/2023 17:10:46,639111,10217,10217
1695661847.37,25/09/2023 17:10:47,649296,10185,10185
1695661848.37,25/09/2023 17:10:48,659715,10419,10419
1695661849.37,25/09/2023 17:10:49,670292,10577,10577
1695661850.37,25/09/2023 17:10:50,680853,10561,10561
1695661851.37,25/09/2023 17:10:51,690980,10127,10127
1695661852.37,25/09/2023 17:10:52,701439,10459,10459
1695661853.37,25/09/2023 17:10:53,712121,10682,10682
1695661854.37,25/09/2023 17:10:54,722732,10611,10611
1695661855.37,25/09/2023 17:10:55,733260,10528,10528
1695661856.37,25/09/2023 17:10:56,743566,10306,10306
1695661857.37,25/09/2023 17:10:57,754069,10503,10503
1695661858.37,25/09/2023 17:10:58,764450,10381,10381
1695661859.371,25/09/2023 17:10:59,774893,10443,10432.567
1695661860.371,25/09/2023 17:11:00,785003,10110,10110
1695661861.371,25/09/2023 17:11:01,795046,10043,10043
1695661862.371,25/09/2023 17:11:02,805413,10367,10367
1695661863.371,25/09/2023 17:11:03,816112,10699,10699
1695661864.371,25/09/2023 17:11:04,826366,10254,10254
1695661865.371,25/09/2023 17:11:05,836687,10321,10321
1695661866.371,25/09/2023 17:11:06,847185,10498,10498
1695661867.371,25/09/2023 17:11:07,857666,10481,10481
1695661868.371,25/09/2023 17:11:08,868034,10368,10368
1695661869.371,25/09/2023 17:11:09,878516,10482,10482
1695661870.371,25/09/2023 17:11:10,889019,10503,10503
1695661871.371,25/09/2023 17:11:11,899479,10460,10460
1695661872.371,25/09/2023 17:11:12,909934,10455,10455
1695661873.372,25/09/2023 17:11:13,919993,10059,10048.951
1695661874.372,25/09/2023 17:11:14,930604,10611,10611
1695661875.372,25/09/2023 17:11:15,941345,10741,10741
1695661876.372,25/09/2023 17:11:16,951869,10524,10524
1695661877.372,25/09/2023 17:11:17,962338,10469,10469
1695661878.372,25/09/2023 17:11:18,972952,10614,10614
1695661879.372,25/09/2023 17:11:19,983557,10605,10605
1695661880.372,25/09/2023 17:11:20,994155,10598,10598
1695661881.372,25/09/2023 17:11:21,1004956,10801,10801
1695661882.372,25/09/2023 17:11:22,1015448,10492,10492
1695661883.372,25/09/2023 17:11:23,1026057,10609,10609
1695661884.372,25/09/2023 17:11:24,1036626,10569,10569
1695661885.372,25/09/2023 17:11:25,1047145,10519,10519
1695661886.372,25/09/2023 17:11:26,1057643,10498,10498
1695661887.372,25/09/2023 17:11:27,1068109,10466,10466
1695661888.373,25/09/2023 17:11:28,1078730,10621,10610.39
1695661889.373,25/09/2023 17:11:29,1089250,10520,10520
1695661890.373,25/09/2023 17:11:30,1099494,10244,10244
1695661891.373,25/09/2023 17:11:31,1109971,10477,10477
1695661892.373,25/09/2023 17:11:32,1120579,10608,10608
1695661893.373,25/09/2023 17:11:33,1130820,10241,10241
1695661894.373,25/09/2023 17:11:34,1140742,9922,9922
1695661895.373,25/09/2023 17:11:35,1150993,10251,10251
1695661896.373,25/09/2023 17:11:36,1161462,10469,10469
1695661897.373,25/09/2023 17:11:37,1171867,10405,10405
